island,site,length,date,type,species,number
saipan,ladtd,300,28-Jun-13,disturbed,euploa eunice,58
saipan,ladtd,300,28-Jun-13,disturbed,eurema blanda,2
saipan,ladtd,300,28-Jun-13,disturbed,papilio polytes,0
saipan,ladtd,300,28-Jun-13,disturbed,hypolymnas bolina,2
saipan,ladtd,300,28-Jun-13,disturbed,hypolymnas anomola,0
saipan,ladtd,300,28-Jun-13,disturbed,catopsilia pomona,0
saipan,ladtd,300,28-Jun-13,disturbed,melanitis leda,0
saipan,ladtd,300,28-Jun-13,disturbed,unidentified,1
saipan,ladtn,300,28-Jun-13,native,euploa eunice,0
saipan,ladtn,300,28-Jun-13,native,eurema blanda,0
saipan,ladtn,300,28-Jun-13,native,papilio polytes,0
saipan,ladtn,300,28-Jun-13,native,hypolymnas bolina,0
saipan,ladtn,300,28-Jun-13,native,hypolymnas anomola,0
saipan,ladtn,300,28-Jun-13,native,catopsilia pomona,0
saipan,ladtn,300,28-Jun-13,native,melanitis leda,0
saipan,ladtn,300,28-Jun-13,native,unidentified,0
saipan,naftan,300,29-Jun-13,disturbed,euploa eunice,0
saipan,naftan,300,29-Jun-13,disturbed,eurema blanda,0
saipan,naftan,300,29-Jun-13,disturbed,papilio polytes,0
saipan,naftan,300,29-Jun-13,disturbed,hypolymnas bolina,4
saipan,naftan,300,29-Jun-13,disturbed,hypolymnas anomola,0
saipan,naftan,300,29-Jun-13,disturbed,catopsilia pomona,0
saipan,naftan,300,29-Jun-13,disturbed,melanitis leda,0
saipan,naftan,300,29-Jun-13,disturbed,unidentified,0
saipan,forbi,300,29-Jun-13,native,euploa eunice,3
saipan,forbi,300,29-Jun-13,native,eurema blanda,0
saipan,forbi,300,29-Jun-13,native,papilio polytes,1
saipan,forbi,300,29-Jun-13,native,hypolymnas bolina,0
saipan,forbi,300,29-Jun-13,native,hypolymnas anomola,0
saipan,forbi,300,29-Jun-13,native,catopsilia pomona,0
saipan,forbi,300,29-Jun-13,native,melanitis leda,0
saipan,forbi,300,29-Jun-13,native,unidentified,0
saipan,marpi,300,30-Jun-13,native,euploa eunice,0
saipan,marpi,300,30-Jun-13,native,eurema blanda,1
saipan,marpi,300,30-Jun-13,native,papilio polytes,0
saipan,marpi,300,30-Jun-13,native,hypolymnas bolina,0
saipan,marpi,300,30-Jun-13,native,hypolymnas anomola,0
saipan,marpi,300,30-Jun-13,native,catopsilia pomona,0
saipan,marpi,300,30-Jun-13,native,melanitis leda,0
saipan,marpi,300,30-Jun-13,native,unidentified,0
saipan,birdisland,300,30-Jun-13,disturbed,euploa eunice,0
saipan,birdisland,300,30-Jun-13,disturbed,eurema blanda,0
saipan,birdisland,300,30-Jun-13,disturbed,papilio polytes,2
saipan,birdisland,300,30-Jun-13,disturbed,hypolymnas bolina,0
saipan,birdisland,300,30-Jun-13,disturbed,hypolymnas anomola,0
saipan,birdisland,300,30-Jun-13,disturbed,catopsilia pomona,0
saipan,birdisland,300,30-Jun-13,disturbed,melanitis leda,0
saipan,birdisland,300,30-Jun-13,disturbed,unidentified,0
saipan,grottobike,300,30-Jun-13,disturbed,euploa eunice,0
saipan,grottobike,300,30-Jun-13,disturbed,eurema blanda,0
saipan,grottobike,300,30-Jun-13,disturbed,papilio polytes,0
saipan,grottobike,300,30-Jun-13,disturbed,hypolymnas bolina,0
saipan,grottobike,300,30-Jun-13,disturbed,hypolymnas anomola,0
saipan,grottobike,300,30-Jun-13,disturbed,catopsilia pomona,0
saipan,grottobike,300,30-Jun-13,disturbed,melanitis leda,0
saipan,grottobike,300,30-Jun-13,disturbed,unidentified,0
rota,grvp,300,10-Jul-13,native,euploa eunice,0
rota,grvp,300,10-Jul-13,native,eurema blanda,0
rota,grvp,300,10-Jul-13,native,papilio polytes,0
rota,grvp,300,10-Jul-13,native,hypolymnas bolina,0
rota,grvp,300,10-Jul-13,native,hypolymnas anomola,0
rota,grvp,300,10-Jul-13,native,catopsilia pomona,0
rota,grvp,300,10-Jul-13,native,melanitis leda,0
rota,grvp,300,10-Jul-13,native,unidentified,0
rota,birdsanctuary,300,10-Jul-13,native,euploa eunice,0
rota,birdsanctuary,300,10-Jul-13,native,eurema blanda,0
rota,birdsanctuary,300,10-Jul-13,native,papilio polytes,0
rota,birdsanctuary,300,10-Jul-13,native,hypolymnas bolina,0
