island,site,distance,type,eunice,blanda,polytes,bolina,anomola,total
saipan,ladtd,300,disturbed,58,2,0,2,0,62
saipan,ladtn,300,native,0,0,0,0,0,0
saipan,naftan,300,disturbed,0,0,0,4,0,4
saipan,forbi,300,native,3,0,1,0,0,4
saipan,marpi,300,native,0,1,0,0,0,1
saipan,birdisland,300,disturbed,0,0,2,0,0,2
saipan,grottobike,300,disturbed,0,0,0,0,0,0
rota,grvp,300,native,0,0,0,0,0,0
rota,palii,300,native,0,0,2,0,0,2
rota,birdsanctuary,300,native,0,0,0,0,0,0
rota,tweksberry,219,disturbed,0,0,0,0,0,0
rota,weddingcake,250,disturbed,0,0,0,0,0,0
rota,calvo,300,disturbed,0,0,0,0,0,0
rota,isang,250,native,0,0,0,0,0,0
guam,twolovers,300,disturbed,1,0,7,2,0,10
guam,gcc,300,native,0,1,2,0,0,3
guam,pagat,300,disturbed,2,11,0,0,4,17
guam,anaon,300,native,0,2,3,0,0,5
guam,sblas,300,native,1,0,1,0,0,2
guam,marbod,300,disturbed,7,3,24,0,4,38
guam,marbon,250,native,0,4,9,0,1,14
