"island","site","date","habitat","number","result","ground","uniqueID","type"
"guam","anao_n",2013-08-01,"native","1","unpredated","n","anao_n-native-1",NA
"guam","anao_n",2013-08-01,"native","2","unpredated","n","anao_n-native-2",NA
"guam","anao_n",2013-08-01,"native","3","unpredated","n","anao_n-native-3",NA
"guam","anao_n",2013-08-01,"native","4","unpredated","n","anao_n-native-4",NA
"guam","anao_n",2013-08-01,"native","5","unpredated","n","anao_n-native-5",NA
"guam","anao_n",2013-08-01,"native","6","unpredated","n","anao_n-native-6",NA
"guam","anao_n",2013-08-01,"native","7","unpredated","n","anao_n-native-7",NA
"guam","anao_n",2013-08-01,"native","8","unpredated","n","anao_n-native-8",NA
"guam","anao_n",2013-08-01,"native","9","unpredated","n","anao_n-native-9",NA
"guam","anao_n",2013-08-01,"native","10","unpredated","n","anao_n-native-10",NA
"guam","anao_n",2013-08-01,"native","11","unpredated","n","anao_n-native-11",NA
"guam","anao_n",2013-08-01,"native","12","unpredated","n","anao_n-native-12",NA
"guam","anao_n",2013-08-01,"native","13","unpredated","n","anao_n-native-13",NA
"guam","anao_n",2013-08-01,"native","14","unpredated","n","anao_n-native-14",NA
"guam","anao_n",2013-08-01,"native","15","unpredated","n","anao_n-native-15",NA
"guam","anao_n",2013-08-01,"native","16","unpredated","n","anao_n-native-16",NA
"guam","anao_n",2013-08-01,"native","17","unpredated","n","anao_n-native-17",NA
"guam","anao_n",2013-08-01,"native","18","predated","n","anao_n-native-18","A"
"guam","anao_n",2013-08-01,"native","19","unpredated","n","anao_n-native-19",NA
"guam","anao_n",2013-08-01,"native","20","unpredated","y","anao_n-native-20",NA
"guam","anao_n",2013-08-01,"native","21","unpredated","n","anao_n-native-21",NA
"guam","anao_n",2013-08-01,"native","22","unpredated","n","anao_n-native-22",NA
"guam","anao_n",2013-08-01,"native","23","unpredated","n","anao_n-native-23",NA
"guam","anao_n",2013-08-01,"native","24","unpredated","n","anao_n-native-24",NA
"guam","anao_n",2013-08-01,"native","25","unpredated","n","anao_n-native-25",NA
"guam","anao_n",2013-08-01,"native","26","unpredated","n","anao_n-native-26",NA
"guam","anao_n",2013-08-01,"native","27","unpredated","n","anao_n-native-27",NA
"guam","anao_n",2013-08-01,"native","28","unpredated","n","anao_n-native-28",NA
"guam","anao_n",2013-08-01,"native","29","unpredated","n","anao_n-native-29",NA
"guam","anao_n",2013-08-01,"native","30","unpredated","n","anao_n-native-30",NA
"guam","anao_n",2013-08-01,"native","31","unpredated","n","anao_n-native-31",NA
"guam","anao_n",2013-08-01,"native","32","unpredated","y","anao_n-native-32",NA
"guam","anao_n",2013-08-01,"native","33","unpredated","n","anao_n-native-33",NA
"guam","anao_n",2013-08-01,"native","34","unpredated","n","anao_n-native-34",NA
"guam","anao_n",2013-08-01,"native","35","unpredated","n","anao_n-native-35",NA
"guam","anao_n",2013-08-01,"native","36","predated","n","anao_n-native-36","B"
"guam","anao_n",2013-08-01,"native","37","predated","y","anao_n-native-37","B"
"guam","anao_n",2013-08-01,"native","38","predated","n","anao_n-native-38","B"
"guam","anao_n",2013-08-01,"native","39","unpredated","n","anao_n-native-39",NA
