island,site,date,type,number,result,ground,predation
rota,palii,16-Jul-13,native,1,n,n,0
rota,palii,16-Jul-13,native,2,n,n,0
rota,palii,16-Jul-13,native,3,n,n,0
rota,palii,16-Jul-13,native,6,n,n,0
rota,palii,16-Jul-13,native,7,n,n,0
rota,palii,16-Jul-13,native,8,n,n,0
rota,palii,16-Jul-13,native,9,n,n,0
rota,palii,16-Jul-13,native,10,n,n,0
rota,palii,16-Jul-13,native,11,n,n,0
rota,palii,16-Jul-13,native,12,n,n,0
rota,palii,16-Jul-13,native,13,n,n,0
rota,palii,16-Jul-13,native,14,n,n,0
rota,palii,16-Jul-13,native,15,n,n,0
rota,palii,16-Jul-13,native,16,n,n,0
rota,palii,16-Jul-13,native,17,n,n,0
rota,palii,16-Jul-13,native,18,n,n,0
rota,palii,16-Jul-13,native,19,n,n,0
rota,palii,16-Jul-13,native,20,n,n,0
rota,palii,16-Jul-13,native,21,n,n,0
rota,palii,16-Jul-13,native,22,n,n,0
rota,palii,16-Jul-13,native,23,n,n,0
rota,palii,16-Jul-13,native,24,n,n,0
rota,palii,16-Jul-13,native,27,n,n,0
rota,palii,16-Jul-13,native,28,n,n,0
rota,palii,16-Jul-13,native,29,n,n,0
rota,palii,16-Jul-13,native,31,n,n,0
rota,palii,16-Jul-13,native,32,n,n,0
rota,palii,16-Jul-13,native,34,n,n,0
rota,palii,16-Jul-13,native,36,n,n,0
rota,palii,16-Jul-13,native,37,n,n,0
rota,palii,16-Jul-13,native,38,n,n,0
rota,palii,16-Jul-13,native,39,n,n,0
rota,palii,16-Jul-13,native,40,n,n,0
rota,palii,16-Jul-13,native,41,n,n,0
rota,palii,16-Jul-13,native,42,n,n,0
rota,palii,16-Jul-13,native,43,n,n,0
rota,palii,16-Jul-13,native,44,n,n,0
rota,palii,16-Jul-13,native,45,n,n,0
rota,palii,16-Jul-13,native,46,n,n,0
rota,palii,16-Jul-13,native,48,n,n,0
rota,palii,16-Jul-13,native,51,n,n,0
rota,palii,16-Jul-13,native,54,n,n,0
rota,palii,16-Jul-13,native,55,n,n,0
rota,palii,16-Jul-13,native,57,n,n,0
rota,palii,16-Jul-13,native,58,n,n,0
rota,palii,16-Jul-13,native,59,n,n,0
rota,palii,16-Jul-13,native,61,n,n,0
rota,palii,16-Jul-13,native,62,n,n,0
rota,palii,16-Jul-13,native,63,n,n,0
rota,palii,16-Jul-13,native,65,n,n,0
rota,palii,16-Jul-13,native,66,n,n,0
rota,palii,16-Jul-13,native,68,n,y,0
rota,palii,16-Jul-13,native,69,n,n,0
rota,palii,16-Jul-13,native,71,n,n,0
rota,palii,16-Jul-13,native,72,n,n,0
rota,palii,16-Jul-13,native,73,n,n,0
rota,palii,16-Jul-13,native,74,n,n,0
rota,palii,16-Jul-13,native,76,n,n,0
rota,palii,16-Jul-13,native,77,n,n,0
rota,palii,16-Jul-13,native,78,n,n,0
rota,palii,16-Jul-13,native,79,n,n,0
rota,palii,16-Jul-13,native,80,n,n,0
rota,palii,16-Jul-13,native,82,n,n,0
rota,palii,16-Jul-13,native,83,n,n,0
rota,palii,16-Jul-13,native,84,n,n,0
rota,palii,16-Jul-13,native,86,n,n,0
rota,palii,16-Jul-13,native,87,n,n,0
rota,palii,16-Jul-13,native,88,n,n,0
rota,palii,16-Jul-13,native,89,n,n,0
rota,palii,16-Jul-13,native,90,n,n,0
rota,palii,16-Jul-13,native,91,n,n,0
rota,palii,16-Jul-13,native,93,n,n,0
rota,palii,16-Jul-13,native,95,n,n,0
rota,palii,16-Jul-13,native,96,n,n,0
rota,palii,16-Jul-13,native,97,n,n,0
rota,palii,16-Jul-13,native,100,n,n,0
rota,palii,16-Jul-13,native,101,n,n,0
rota,palii,16-Jul-13,native,102,n,n,0
rota,palii,16-Jul-13,native,103,n,n,0
rota,palii,16-Jul-13,native,104,n,n,0
rota,palii,16-Jul-13,native,105,n,n,0
rota,palii,16-Jul-13,native,106,n,n,0
rota,palii,16-Jul-13,native,107,n,n,0
rota,palii,16-Jul-13,native,109,n,n,0
rota,palii,16-Jul-13,native,110,n,n,0
rota,palii,16-Jul-13,native,112,n,n,0
rota,palii,16-Jul-13,native,114,n,n,0
rota,palii,16-Jul-13,native,115,n,n,0
rota,palii,16-Jul-13,native,116,n,n,0
rota,palii,16-Jul-13,native,117,n,n,0
rota,palii,16-Jul-13,native,118,n,n,0
rota,palii,16-Jul-13,native,119,n,n,0
rota,palii,16-Jul-13,native,121,n,n,0
rota,palii,16-Jul-13,native,122,n,n,0
rota,palii,16-Jul-13,native,123,n,n,0
rota,palii,16-Jul-13,native,124,n,n,0
rota,palii,16-Jul-13,native,125,n,n,0
rota,palii,16-Jul-13,native,126,n,n,0
rota,palii,16-Jul-13,native,128,n,n,0
rota,palii,16-Jul-13,native,129,n,n,0
rota,palii,16-Jul-13,native,131,n,n,0
rota,palii,16-Jul-13,native,132,n,n,0
rota,palii,16-Jul-13,native,133,n,n,0
rota,palii,16-Jul-13,native,134,n,n,0
rota,palii,16-Jul-13,native,135,n,n,0
rota,palii,16-Jul-13,native,136,n,n,0
rota,palii,16-Jul-13,native,139,n,n,0
rota,palii,16-Jul-13,native,140,n,n,0
rota,palii,16-Jul-13,native,141,n,n,0
rota,palii,16-Jul-13,native,142,n,n,0
rota,palii,16-Jul-13,native,143,n,n,0
rota,palii,16-Jul-13,native,144,n,n,0
rota,palii,16-Jul-13,native,145,n,n,0
rota,palii,16-Jul-13,native,147,n,n,0
rota,palii,16-Jul-13,native,148,n,n,0
rota,palii,16-Jul-13,native,149,n,n,0
rota,palii,16-Jul-13,native,150,n,n,0
rota,grvp,16-Jul-13,native,2,n,n,0
rota,grvp,16-Jul-13,native,3,n,n,0
rota,grvp,16-Jul-13,native,4,n,n,0
rota,grvp,16-Jul-13,native,5,n,n,0
rota,grvp,16-Jul-13,native,6,n,n,0
rota,grvp,16-Jul-13,native,7,n,n,0
rota,grvp,16-Jul-13,native,9,n,n,0
rota,grvp,16-Jul-13,native,11,n,n,0
rota,grvp,16-Jul-13,native,12,n,n,0
rota,grvp,16-Jul-13,native,14,n,n,0
rota,grvp,16-Jul-13,native,15,n,n,0
rota,grvp,16-Jul-13,native,16,n,n,0
rota,grvp,16-Jul-13,native,17,n,n,0
rota,grvp,16-Jul-13,native,18,n,n,0
rota,grvp,16-Jul-13,native,19,n,n,0
rota,grvp,16-Jul-13,native,20,n,y,0
rota,grvp,16-Jul-13,native,21,n,n,0
rota,grvp,16-Jul-13,native,22,n,n,0
rota,grvp,16-Jul-13,native,23,n,n,0
rota,grvp,16-Jul-13,native,24,n,n,0
rota,grvp,16-Jul-13,native,26,n,n,0
rota,grvp,16-Jul-13,native,27,n,n,0
rota,grvp,16-Jul-13,native,29,n,n,0
rota,grvp,16-Jul-13,native,30,n,n,0
rota,grvp,16-Jul-13,native,31,n,n,0
rota,grvp,16-Jul-13,native,32,n,n,0
rota,grvp,16-Jul-13,native,33,n,n,0
rota,grvp,16-Jul-13,native,34,n,n,0
rota,grvp,16-Jul-13,native,36,n,n,0
rota,grvp,16-Jul-13,native,37,n,n,0
rota,grvp,16-Jul-13,native,38,n,n,0
rota,grvp,16-Jul-13,native,39,n,n,0
rota,grvp,16-Jul-13,native,40,n,n,0
rota,grvp,16-Jul-13,native,41,n,n,0
rota,grvp,16-Jul-13,native,42,n,n,0
rota,grvp,16-Jul-13,native,43,n,n,0
rota,grvp,16-Jul-13,native,44,n,n,0
rota,grvp,16-Jul-13,native,45,n,n,0
rota,grvp,16-Jul-13,native,46,n,n,0
