island,site,date,type,number,result,ground
guam,anao,1-Aug-13,native,1,unpredated,n
guam,anao,1-Aug-13,native,2,unpredated,n
guam,anao,1-Aug-13,native,3,unpredated,n
guam,anao,1-Aug-13,native,4,unpredated,n
guam,anao,1-Aug-13,native,5,unpredated,n
guam,anao,1-Aug-13,native,6,unpredated,n
guam,anao,1-Aug-13,native,7,unpredated,n
guam,anao,1-Aug-13,native,8,unpredated,n
guam,anao,1-Aug-13,native,9,unpredated,n
guam,anao,1-Aug-13,native,10,unpredated,n
guam,anao,1-Aug-13,native,11,unpredated,n
guam,anao,1-Aug-13,native,12,unpredated,n
guam,anao,1-Aug-13,native,13,unpredated,n
guam,anao,1-Aug-13,native,14,unpredated,n
guam,anao,1-Aug-13,native,15,unpredated,n
guam,anao,1-Aug-13,native,16,unpredated,n
guam,anao,1-Aug-13,native,17,unpredated,n
guam,anao,1-Aug-13,native,18,predated,n
guam,anao,1-Aug-13,native,19,unpredated,n
guam,anao,1-Aug-13,native,20,unpredated,y
guam,anao,1-Aug-13,native,21,unpredated,n
guam,anao,1-Aug-13,native,22,unpredated,n
guam,anao,1-Aug-13,native,23,unpredated,n
guam,anao,1-Aug-13,native,24,unpredated,n
guam,anao,1-Aug-13,native,25,unpredated,n
guam,anao,1-Aug-13,native,26,unpredated,n
guam,anao,1-Aug-13,native,27,unpredated,n
guam,anao,1-Aug-13,native,28,unpredated,n
guam,anao,1-Aug-13,native,29,unpredated,n
guam,anao,1-Aug-13,native,30,unpredated,n
guam,anao,1-Aug-13,native,31,unpredated,n
guam,anao,1-Aug-13,native,32,unpredated,y
guam,anao,1-Aug-13,native,33,unpredated,n
guam,anao,1-Aug-13,native,34,unpredated,n
guam,anao,1-Aug-13,native,35,unpredated,n
guam,anao,1-Aug-13,native,36,predated,n
guam,anao,1-Aug-13,native,37,predated,y
guam,anao,1-Aug-13,native,38,predated,n
guam,anao,1-Aug-13,native,39,missing,n
guam,anao,1-Aug-13,native,40,question,n
guam,anao,1-Aug-13,native,41,unpredated,n
guam,anao,1-Aug-13,native,42,unpredated,n
guam,anao,1-Aug-13,native,43,predated,n
guam,anao,1-Aug-13,native,44,unpredated,n
guam,anao,1-Aug-13,native,45,unpredated,n
guam,anao,1-Aug-13,native,46,unpredated,n
guam,anao,1-Aug-13,native,47,unpredated,n
guam,anao,1-Aug-13,native,48,unpredated,n
guam,anao,1-Aug-13,native,49,unpredated,n
guam,anao,1-Aug-13,native,50,unpredated,n
guam,anao,1-Aug-13,native,51,unpredated,n
guam,anao,1-Aug-13,native,52,unpredated,n
guam,anao,1-Aug-13,native,53,unpredated,n
guam,anao,1-Aug-13,native,54,unpredated,n
guam,anao,1-Aug-13,native,55,unpredated,n
guam,anao,1-Aug-13,native,56,unpredated,n
guam,anao,1-Aug-13,native,57,unpredated,n
guam,anao,1-Aug-13,native,58,predated,n
guam,anao,1-Aug-13,native,59,unpredated,n
guam,anao,1-Aug-13,native,60,unpredated,n
guam,anao,1-Aug-13,native,61,unpredated,n
guam,anao,1-Aug-13,native,62,unpredated,n
guam,anao,1-Aug-13,native,63,unpredated,n
guam,anao,1-Aug-13,native,64,unpredated,n
guam,anao,1-Aug-13,native,65,unpredated,n
guam,anao,1-Aug-13,native,66,unpredated,n
guam,anao,1-Aug-13,native,67,unpredated,n
guam,anao,1-Aug-13,native,68,predated,n
guam,anao,1-Aug-13,native,69,unpredated,n
guam,anao,1-Aug-13,native,70,predated,n
guam,anao,1-Aug-13,native,71,unpredated,n
guam,anao,1-Aug-13,native,72,unpredated,n
